text_id	text	task_1	task_2	task_3
hasoc_en_1	#DhoniKeepsTheGlove | WATCH: Sports Minister Kiren Rijiju issues statement backing MS Dhoni over 'Balidaan Badge', tells BCCI to take up the matter with ICC and keep government in the know as nation's pride is involved    https://t.co/zuo5335Rjr	NOT	NONE	NONE
hasoc_en_2	@politico No. We should remember very clearly that #Individual1 just admitted to treason . #TrumpIsATraitor  #McCainsAHero #JohnMcCainDay	HOF	HATE	TIN
hasoc_en_3	@cricketworldcup Guess who would be the winner of this #CWC19?     Team who gets maximum points from the abandoned matches 😄 #ShameOnICC #WIvsENG @ICC	NOT	NONE	NONE
hasoc_en_4	Corbyn is too politically intellectual for #BorisJohnsonShouldNotBePM   Can't wait   #GeneralElectionNow https://t.co/pt8KmjfxJj	NOT	NONE	NONE
hasoc_en_5	All the best to #TeamIndia for another swimming competition on Sunday against #Pakistan.     #INDvPAK #ShameOnICC  #CWC19 #CWC19Rains ☔☔ https://t.co/MG2cIE0zib	NOT	NONE	NONE
hasoc_en_6	@kellymiller513 @TheRealOJ32 I hope you remembered to wipe the blood off of you, after the pic was taken.  #bloodonhishands #murderer	NOT	NONE	NONE
hasoc_en_7	@ICC Latest design of #WC2019 trophy. #CWC2019 #CWC19 #ShameOnICC https://t.co/g3mRuphBzE	NOT	NONE	NONE
hasoc_en_8	#ADOS #trendingnow #blacklivesmatter #justice #fucktrump  ‘Central Park Five’ Prosecutor Elizabeth Lederer Out at Columbia Law School https://t.co/7S1Lu7wi53	HOF	PRFN	TIN
hasoc_en_9	Thanks for your support! Wow 600k. Graffiti has a massive impact nowadays, do not forget to show your own opinion!     #AllColorsAreBeautiful   #PowerToThePeople  #FuckRacism   #FuckTrump   #MakeLoveNotWar… https://t.co/4hc5UiDgLj	NOT	NONE	NONE
hasoc_en_10	By wearing the #BalidaanBadge over his gloves @msdhoni has shown his love &amp; respect for the forces.     @icc should understand that this is not related to any political/religious/racial activities    This is about our #NationalPride    #DhoniKeepsTheGlove	NOT	NONE	NONE
hasoc_en_11	Mahendra Singh Dhoni's love for the Nation, Armed Forces and Soldiers has been intact which is truly commendable. He is Nation's Hero. No one represents our Country better than him. I stand with @msdhoni  #DhoniKeepsTheGlove #DhoniKeSaathDesh   #IndiaWithDhoni https://t.co/xFO4KNyj8b	NOT	NONE	NONE
hasoc_en_12	I don’t know how much more I can take! 45 is a compulsive liar! #Trump30Hours #TrumpIsATraitor	HOF	HATE	TIN
hasoc_en_13	#ShameOnICC@ICC WINNER TEAM-RAIN  ICC RUN UP TEAM-RAIN  ICC MAN OF THE MATCH-RAIN  ICC MAN OF THE SERIES-RAIN  BEST BOWLER-RAIN  BEST WICKETKEPER-RAIN https://t.co/nEL5SXz6om	NOT	NONE	NONE
hasoc_en_14	@narendramodi  @pmoindia_namo  @narendramodi  @PMOIndia  @AmitShah  @RamNanthKobind  Grevious assault on jr doctors in all medical colleges in WB. No action being taken for safety security and justice. PM sir please intervene asap.  #Savethedoctors  #DoctorsFightBack	NOT	NONE	NONE
hasoc_en_15	ICC denies request from BCCI to allow MSD wear gloves with Army insignia.    @ICC @BCCI #DhoniKeepTheGlove #DhoniKeepsTheGlove	NOT	NONE	NONE
hasoc_en_16	Good work @ICC keep going just destroy the whole fucking world cup #ShameOnICC https://t.co/ELvq7PAuY9	HOF	PRFN	TIN
hasoc_en_17	Wow, you're full of it @MattHancock   #BorisJohnsonShouldNotBePM   #KickThemOut https://t.co/mbl0wsYroj 	NOT	NONE	NONE
hasoc_en_18	All Indian spectators shd hv #BalidanBadge in ground, #DhoniKeepsTheGlove #DhoniKeepBalidaanBadgeGlove #DhoniKeepsTheGlove #DhoniKeSathDesh	NOT	NONE	NONE
hasoc_en_19	@ICC  @BCCI  What about Virat Kholi tattoos 😂😂    #DhoniKeepsTheGlove https://t.co/hGaAB9GCyD	NOT	NONE	NONE
hasoc_en_20	Which is more important?  #IndiaWithDhoni   #DhoniKeepsTheGlove https://t.co/Iib4R9P0qn	NOT	NONE	NONE
hasoc_en_21	@KBMteam @iowaspeedway @HBurtonRacing @rileyherbst @ToddGilliland_ @CSmithDrive @rileyherbst is gonna crash. #Douchebag	NOT	NONE	NONE
hasoc_en_22	Harbor N Bay Mens Boxer Short Pack of 2 @ Rs.299    https://t.co/tceazILuQp    #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll	NOT	NONE	NONE
hasoc_en_23	ICC turns down #BCCI's request to allow @msdhoni to continue wearing the army insignia on his wicket-keeping gloves; ICC says regulations for ICC events do not permit any individual message or logo to be displayed on any items of clothing or equipment.   #DhoniKeepsTheGlove https://t.co/HuGm4DiLuL	NOT	NONE	NONE
hasoc_en_24	#ShameOnICC  1. ICC on Dhoni's gloves                    Vs  2.ICC planning the World Cup https://t.co/4kO3zKt7ln	HOF	HATE	TIN
hasoc_en_25	Senior #Doctors of #RGKar greeted with applause &amp; ovation by #JuniorDoctors after they came back submitting #Resignation.    Hear them. This is not orchestrated. This is not paid stunt. These are docs mass-resigning in protest.    #DoctorsFightBack #SaveTheDoctors #IstandwithNRS https://t.co/3c4z1X26hm	NOT	NONE	NONE
